         13875808 function calls (13585008 primitive calls) in 3.818 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    80071    0.007    0.000    0.007    0.000 node.py:75(module_path)
     4270    0.006    0.000    0.050    0.000 query.py:79(factory)
    26148    0.006    0.000    0.061    0.000 literal.py:58(plain)
    39108    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
    74082    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     7248    0.006    0.000    0.041    0.000 primary.py:215(receiver)
    63152    0.006    0.000    0.006    0.000 {built-in method builtins.id}
    10832    0.005    0.000    0.696    0.000 node.py:41(__str__)
    10832    0.005    0.000    0.042    0.000 procedure.py:140(__exit)
    10832    0.005    0.000    0.038    0.000 procedure.py:118(__enter)
26510/17996    0.005    0.000    0.422    0.000 symbol.py:526(org_fullyname)
    13276    0.005    0.000    0.010    0.000 nodes.py:167(iter_child_nodes)
    33625    0.005    0.000    0.005    0.000 eventemitter.py:70(observed)
     1116    0.005    0.000    0.012    0.000 {built-in method builtins.sorted}
     2645    0.005    0.000    0.008    0.000 lexer.py:667(tokeniter)
3097/1067    0.005    0.000    0.395    0.000 sequence.py:34(expand)
     3439    0.005    0.000    0.005    0.000 __init__.py:1023(__iter__)
     5449    0.005    0.000    0.103    0.000 node.py:234(__prop_expand)
    38825    0.004    0.000    0.007    0.000 node.py:224(order)
     8425    0.004    0.000    0.008    0.000 procedure.py:210(__is_prop_list_by)
     5353    0.004    0.000    0.018    0.000 path.py:170(shift)
      696    0.004    0.000    0.007    0.000 reflection.py:45(__init__)
     7815    0.003    0.000    0.209    0.000 statement_compound.py:612(symbol_name)
    41364    0.003    0.000    0.003    0.000 path.py:35(__init__)
     1235    0.003    0.000    0.156    0.000 symbols.py:448(on_relay)
5770/5601    0.003    0.000    0.435    0.000 symbols.py:237(__resolve_raw)
     1816    0.003    0.000    0.003    0.000 {built-in method posix.stat}
     5505    0.003    0.000    0.008    0.000 path.py:11(join)
    41491    0.003    0.000    0.003    0.000 symbol.py:475(attrs)
    890/1    0.003    0.000    3.818    3.818 procedure.py:61(exec)
     1776    0.003    0.000    0.006    0.000 runtime.py:163(__init__)
      890    0.003    0.000    0.136    0.000 node.py:204(calculated)
    36916    0.003    0.000    0.003    0.000 symbol.py:565(origin)
     3729    0.003    0.000    0.003    0.000 symbol.py:494(__init__)
    11569    0.003    0.000    0.011    0.000 path.py:48(elements)
     5449    0.003    0.000    0.095    0.000 node.py:249(__prop_of_nodes)
     9978    0.003    0.000    0.003    0.000 __init__.py:1009(__getitem__)
    22510    0.003    0.000    0.004    0.000 nodes.py:145(iter_fields)
      591    0.003    0.000    0.336    0.001 py2cpp.py:375(on_relay)
     5630    0.003    0.000    0.011    0.000 path.py:77(last)
