         7279318 function calls (6904418 primitive calls) in 2.626 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
15666/14826    0.007    0.000    0.169    0.000 query.py:52(by)
    14090    0.007    0.000    0.074    0.000 path.py:103(parent_tag)
    51441    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
10884/101    0.007    0.000    0.084    0.001 visitor.py:35(visit)
    14092    0.007    0.000    0.114    0.000 finder.py:160(__find_raw)
12101/11261    0.006    0.000    0.176    0.000 node.py:288(_by)
    56148    0.006    0.000    0.006    0.000 di.py:311(__can_resolve)
    33453    0.006    0.000    0.006    0.000 db.py:64(__contains__)
    12170    0.006    0.000    0.023    0.000 node.py:278(_exists)
12122/11998    0.006    0.000    0.257    0.000 node.py:300(_at)
    41959    0.006    0.000    0.006    0.000 {method 'find' of 'str' objects}
4849/3745    0.006    0.000    0.397    0.000 defer.py:55(__getattribute__)
    19686    0.006    0.000    0.009    0.000 path.py:112(__break_tag)
    34801    0.006    0.000    0.006    0.000 {method 'count' of 'str' objects}
     8392    0.006    0.000    0.116    0.000 reflections.py:60(type_is)
     6305    0.006    0.000    0.009    0.000 node.py:430(one_of)
    20080    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
     1075    0.006    0.000    0.231    0.000 reflections.py:425(on_relay)
    42836    0.006    0.000    0.006    0.000 {method 'values' of 'dict' objects}
       14    0.006    0.000    0.313    0.022 query.py:16(__init__)
    64782    0.005    0.000    0.012    0.000 <frozen _collections_abc>:873(__iter__)
     4502    0.005    0.000    0.011    0.000 utils.py:497(__getitem__)
     4040    0.005    0.000    0.041    0.000 query.py:205(factory)
     5898    0.005    0.000    0.009    0.000 trait.py:84(implements)
      849    0.005    0.000    0.010    0.000 template.py:49(__init__)
    57660    0.005    0.000    0.005    0.000 procedure.py:94(__stack)
9610/4688    0.005    0.000    1.429    0.000 middleware.py:99(emit)
     4029    0.005    0.000    0.460    0.000 node.py:255(__prop_expand)
     3269    0.005    0.000    0.011    0.000 runtime.py:262(call)
    12443    0.005    0.000    0.059    0.000 node.py:98(classification)
 8191/467    0.005    0.000    0.020    0.000 nodes.py:195(find_all)
     3599    0.005    0.000    0.166    0.000 environment.py:1272(render)
   2376/1    0.005    0.000    1.958    1.958 procedure.py:72(__exec_impl)
     5898    0.005    0.000    0.014    0.000 reflection.py:191(impl)
     4330    0.005    0.000    0.035    0.000 lexer.py:615(wrap)
     1763    0.005    0.000    0.039    0.000 node.py:477(dirty_proxify)
     2868    0.005    0.000    0.007    0.000 nodes.py:129(__init__)
     6188    0.005    0.000    0.040    0.000 statement_compound.py:346(_dig_embedder)
     9900    0.005    0.000    0.008    0.000 dsn.py:4(elem_counts)
     3599    0.005    0.000    0.344    0.000 render.py:59(render)
      608    0.004    0.000    0.334    0.001 py2cpp.py:770(on_relay)
     1283    0.004    0.000    0.015    0.000 serializer.py:90(_deserialize_attrs)
    23205    0.004    0.000    0.007    0.000 node.py:405(is_a)
       71    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
     1283    0.004    0.000    0.154    0.000 serializer.py:63(deserialize)
    20069    0.004    0.000    0.006    0.000 node.py:415(as_a)
     3927    0.004    0.000    0.004    0.000 {method 'remove' of 'collections.deque' objects}
     7691    0.004    0.000    0.026    0.000 statement_compound.py:305(decorators)
    21553    0.004    0.000    0.004    0.000 db.py:18(__getitem__)
        1    0.004    0.004    0.008    0.008 lalr_analysis.py:60(deserialize)
 5769/806    0.004    0.000    0.022    0.000 visitor.py:44(generic_visit)
     7234    0.004    0.000    0.006    0.000 procedure.py:212(__stack_pop)
     6619    0.004    0.000    0.007    0.000 procedure.py:200(__is_prop_list_by)
    18562    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
     2451    0.004    0.000    0.009    0.000 reflection.py:126(to)
        1    0.004    0.004    0.004    0.004 {built-in method _pickle.load}
     7832    0.004    0.000    0.005    0.000 lexer.py:277(test)
     6105    0.004    0.000    0.016    0.000 path.py:146(de_identify)
     5076    0.004    0.000    0.010    0.000 module.py:101(expanded)
     2907    0.004    0.000    0.041    0.000 traits.py:140(_actualize_type)
      101    0.004    0.000    0.004    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     3890    0.003    0.000    0.072    0.000 statement_compound.py:582(symbol)
     5269    0.003    0.000    0.064    0.000 node.py:173(parent)
   9715/9    0.003    0.000    0.011    0.001 utils.py:35(_deserialize)
      423    0.003    0.000    0.003    0.000 {built-in method nt._path_isfile}
      602    0.003    0.000    0.007    0.000 template.py:283(_normalize_props)
     4029    0.003    0.000    0.452    0.000 node.py:270(__prop_of_nodes)
3439/1276    0.003    0.000    0.070    0.000 node.py:132(factory)
    40010    0.003    0.000    0.003    0.000 reflection.py:292(types)
     4401    0.003    0.000    0.219    0.000 environment.py:953(_load_template)
    52229    0.003    0.000    0.003    0.000 typing.py:2371(cast)
     9541    0.003    0.000    0.102    0.000 reflections.py:83(from_standard)
    10884    0.003    0.000    0.005    0.000 visitor.py:28(get_visitor)
    14239    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x00007FF9760D28A0}
    17591    0.003    0.000    0.003    0.000 entry.py:55(value)
    12170    0.003    0.000    0.006    0.000 query.py:41(exists)
9610/4688    0.003    0.000    1.513    0.000 procedure.py:110(__process)
       79    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
    23525    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
     4860    0.003    0.000    0.041    0.000 statement_compound.py:330(actual_symbol)
     4782    0.003    0.000    0.095    0.000 statement_compound.py:277(domain_name)
    23790    0.003    0.000    0.003    0.000 entry.py:37(has_child)
     5052    0.003    0.000    0.003    0.000 node.py:494(__getattribute__)
     1582    0.003    0.000    0.025    0.000 template.py:227(unpack_templates)
 1641/390    0.003    0.000    0.012    0.000 visitor.py:61(generic_visit)
     5922    0.003    0.000    0.004    0.000 compiler.py:453(write)
     5269    0.003    0.000    0.060    0.000 query.py:66(parent)
     5908    0.003    0.000    0.003    0.000 {method 'mro' of 'type' objects}
     9293    0.003    0.000    0.004    0.000 resolver.py:93(resolve)
    12019    0.003    0.000    0.005    0.000 query.py:147(<lambda>)
    19747    0.003    0.000    0.003    0.000 node.py:83(module_path)
    21203    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
