         5854691 function calls (5660064 primitive calls) in 1.717 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  272/231    0.000    0.000    0.046    0.000 symbol.py:336(make_shorthand)
    13185    0.004    0.000    0.043    0.000 element.py:52(path)
    84351    0.042    0.000    0.042    0.000 {method 'sub' of 're.Pattern' objects}
       99    0.000    0.000    0.042    0.000 reflection.py:167(parameter)
    50219    0.017    0.000    0.041    0.000 query.py:31(__resolve)
    10832    0.005    0.000    0.041    0.000 procedure.py:167(__exit)
   372125    0.037    0.000    0.041    0.000 {built-in method builtins.isinstance}
     1663    0.002    0.000    0.040    0.000 environment.py:1269(render)
    12856    0.005    0.000    0.039    0.000 node.py:286(_at)
     8288    0.004    0.000    0.038    0.000 element.py:57(arguments)
    10832    0.005    0.000    0.037    0.000 procedure.py:145(__enter)
      353    0.000    0.000    0.035    0.000 symbols.py:102(type_of_constructor)
     2334    0.002    0.000    0.035    0.000 node.py:511(dirty_child)
    38367    0.014    0.000    0.034    0.000 dsn.py:4(elem_counts)
     2811    0.004    0.000    0.034    0.000 query.py:79(factory)
    84271    0.021    0.000    0.033    0.000 __init__.py:329(_compile)
    22950    0.015    0.000    0.032    0.000 dsn.py:40(left)
    69736    0.020    0.000    0.032    0.000 dsn.py:16(elements)
    31734    0.019    0.000    0.032    0.000 embed.py:108(get_from_method)
      137    0.000    0.000    0.030    0.000 reflection.py:248(unpack_symbols)
      894    0.001    0.000    0.030    0.000 statement_compound.py:638(domain_name)
       37    0.000    0.000    0.028    0.001 environment.py:677(_generate)
       37    0.000    0.000    0.028    0.001 compiler.py:101(generate)
  4206/37    0.002    0.000    0.028    0.001 visitor.py:35(visit)
       37    0.001    0.000    0.027    0.001 compiler.py:826(visit_Template)
     9698    0.003    0.000    0.027    0.000 primary.py:442(value)
       21    0.000    0.000    0.027    0.001 py2cpp.py:204(on_class_method)
     4869    0.003    0.000    0.026    0.000 primary.py:160(receiver)
   120370    0.016    0.000    0.026    0.000 node.py:375(is_a)
       37    0.000    0.000    0.026    0.001 environment.py:613(_parse)
     1452    0.001    0.000    0.025    0.000 primary.py:433(label)
       37    0.000    0.000    0.023    0.001 parser.py:1028(parse)
       74    0.000    0.000    0.023    0.000 symbol.py:288(__eq__)
    16281    0.017    0.000    0.023    0.000 node.py:177(__embed_classes)
      148    0.000    0.000    0.023    0.000 symbol.py:307(__repr__)
      591    0.001    0.000    0.023    0.000 py2cpp.py:395(analyze_relay_access_spec)
     4754    0.002    0.000    0.022    0.000 statement_compound.py:344(decorators)
     1776    0.001    0.000    0.021    0.000 environment.py:1375(new_context)
   165230    0.021    0.000    0.021    0.000 memo.py:71(get)
   138/37    0.001    0.000    0.021    0.001 parser.py:979(subparse)
  173/167    0.000    0.000    0.021    0.000 symbols.py:231(__resolve_raw_recursive)
     1776    0.007    0.000    0.021    0.000 runtime.py:91(new_context)
   165230    0.020    0.000    0.020    0.000 memo.py:11(__call__)
      822    0.000    0.000    0.020    0.000 py2cpp.py:91(force_unpack_nullable)
       21    0.000    0.000    0.020    0.001 py2cpp.py:111(unpack_function_template_types)
    10474    0.010    0.000    0.019    0.000 finder.py:120(__find_raw)
     8246    0.002    0.000    0.019    0.000 literal.py:58(plain)
    26322    0.009    0.000    0.019    0.000 finder.py:110(is_local_var_in_class_scope)
      102    0.000    0.000    0.018    0.000 py2cpp.py:469(on_var_of_type)
    51364    0.011    0.000    0.018    0.000 cache.py:38(by)
       21    0.000    0.000    0.018    0.001 reflection.py:207(templates)
     1235    0.001    0.000    0.017    0.000 symbols.py:305(force_unpack_nullable)
   165230    0.017    0.000    0.017    0.000 memo.py:23(decorator)
      878    0.001    0.000    0.017    0.000 statement_compound.py:583(symbol)
    74/52    0.000    0.000    0.016    0.000 parser.py:165(parse_statement)
      272    0.000    0.000    0.015    0.000 statement_compound.py:629(symbol_name)
       18    0.000    0.000    0.015    0.001 py2cpp.py:662(on_term)
     2809    0.002    0.000    0.015    0.000 symbols.py:37(is_a)
     3293    0.001    0.000    0.014    0.000 primary.py:165(prop)
   142462    0.013    0.000    0.013    0.000 node.py:82(full_path)
    44154    0.008    0.000    0.013    0.000 query.py:42(exists)
