         68508122 function calls (65184661 primitive calls) in 24.793 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    82051    0.076    0.000    0.659    0.000 finder.py:59(by_standard)
172384/168680    0.075    0.000    1.372    0.000 query.py:52(by)
   825767    0.071    0.000    0.071    0.000 {built-in method builtins.issubclass}
135456/131752    0.070    0.000    1.420    0.000 node.py:316(_by)
   331306    0.069    0.000    0.276    0.000 di.py:21(can_resolve)
    56790    0.069    0.000    0.259    0.000 reflection.py:115(stack)
   806978    0.069    0.000    0.069    0.000 path.py:32(__init__)
    36595    0.069    0.000    0.597    0.000 query.py:77(factory)
   474317    0.069    0.000    0.115    0.000 {built-in method builtins.hasattr}
   332459    0.068    0.000    0.207    0.000 di.py:32(__inner_binded)
   369039    0.067    0.000    0.067    0.000 {method 'find' of 'str' objects}
   329699    0.065    0.000    0.065    0.000 {method 'get' of 'dict' objects}
76760/76127    0.065    0.000    4.032    0.000 trait.py:120(<lambda>)
   104724    0.064    0.000    0.499    0.000 procedure.py:163(__exit)
   283369    0.064    0.000    0.064    0.000 embed.py:26(class_path)
   104724    0.063    0.000    0.442    0.000 procedure.py:141(__enter)
128149/127117    0.063    0.000    3.052    0.000 node.py:328(_at)
    24110    0.060    0.000    0.444    0.000 primary.py:682(is_decl_local_var)
    34483    0.060    0.000    0.122    0.000 runtime.py:165(__init__)
   288052    0.059    0.000    0.059    0.000 db.py:63(__contains__)
   187355    0.058    0.000    0.092    0.000 path.py:110(__break_tag)
   110154    0.057    0.000    0.071    0.000 entry.py:43(children)
    45918    0.057    0.000    3.697    0.000 reflections.py:226(resolve)
   497668    0.057    0.000    0.057    0.000 di.py:307(__can_resolve)
   444330    0.056    0.000    0.056    0.000 {method 'startswith' of 'str' objects}
   258770    0.056    0.000    0.056    0.000 {method 'count' of 'str' objects}
   628344    0.056    0.000    0.056    0.000 procedure.py:95(__stack)
   107511    0.056    0.000    0.203    0.000 node.py:306(_exists)
   114435    0.055    0.000    0.584    0.000 path.py:101(parent_tag)
   324104    0.054    0.000    0.054    0.000 eventemitter.py:67(observed)
     9069    0.054    0.000    0.098    0.000 template.py:47(__init__)
    43808    0.053    0.000    5.668    0.000 node.py:283(__prop_expand)
    90639    0.053    0.000    0.053    0.000 reflection.py:43(__init__)
    32132    0.053    0.000    0.135    0.000 {built-in method builtins.sorted}
    24246    0.053    0.000    6.096    0.000 node.py:253(__procedural_ast)
    38333    0.052    0.000    0.406    0.000 query.py:205(factory)
    11015    0.051    0.000    2.489    0.000 reflections.py:420(on_relay)
 24246/51    0.051    0.000   20.145    0.395 procedure.py:77(__exec_impl)
   513122    0.050    0.000    0.050    0.000 error.py:68(__exit__)
    50586    0.048    0.000    0.073    0.000 node.py:443(one_of)
108856/100598    0.048    0.000    0.053    0.000 node.py:502(__getattribute__)
    51465    0.048    0.000    0.763    0.000 statement_compound.py:340(_dig_embedder)
   293697    0.047    0.000    0.078    0.000 node.py:273(order)
   330845    0.047    0.000    0.047    0.000 {method 'lower' of 'str' objects}
    74454    0.047    0.000    0.168    0.000 node.py:65(__eq__)
    67085    0.047    0.000    0.439    0.000 statement_compound.py:302(decorators)
 24246/51    0.046    0.000   20.148    0.395 procedure.py:59(exec)
   366091    0.046    0.000    0.046    0.000 {method 'values' of 'dict' objects}
     6003    0.045    0.000    3.750    0.001 py2cpp.py:512(on_relay)
    49328    0.045    0.000    0.073    0.000 trait.py:84(implements)
    28455    0.045    0.000    1.344    0.000 render.py:49(render)
    25580    0.045    0.000    8.049    0.000 reflections.py:104(type_of)
    76760    0.043    0.000    0.072    0.000 reflection.py:245(__getattr__)
      127    0.043    0.000    2.496    0.020 query.py:16(__init__)
    73080    0.042    0.000    0.071    0.000 procedure.py:244(__is_prop_list_by)
52708/45918    0.042    0.000    3.626    0.000 reflections.py:244(__resolve_raw)
    34589    0.042    0.000    0.093    0.000 utils.py:497(__getitem__)
    28525    0.041    0.000    0.041    0.000 {method 'remove' of 'collections.deque' objects}
    90677    0.041    0.000    0.077    0.000 dsn.py:4(elem_counts)
    80478    0.040    0.000    0.066    0.000 procedure.py:256(__stack_pop)
    59185    0.040    0.000    0.117    0.000 module.py:97(expanded)
   205419    0.040    0.000    0.040    0.000 db.py:17(__getitem__)
    23909    0.039    0.000    0.078    0.000 runtime.py:262(call)
    49328    0.039    0.000    0.120    0.000 reflection.py:191(impl)
95758/60563    0.039    0.000    0.895    0.000 node.py:128(scope)
    28455    0.038    0.000    0.956    0.000 environment.py:1272(render)
104724/24246    0.038    0.000    6.108    0.000 node.py:222(procedural)
   235876    0.038    0.000    0.038    0.000 {method 'endswith' of 'str' objects}
    50118    0.037    0.000    0.105    0.000 default.j2:4(root)
    13645    0.035    0.000    0.286    0.000 node.py:487(dirty_proxify)
   178940    0.035    0.000    0.035    0.000 entry.py:55(value)
   341460    0.034    0.000    0.080    0.000 <frozen _collections_abc>:868(__iter__)
    43808    0.033    0.000    5.580    0.000 node.py:298(__prop_of_nodes)
      127    0.032    0.000    0.032    0.000 db.py:112(has_module)
    26661    0.032    0.000    0.091    0.000 reflection.py:126(to)
    39527    0.032    0.000    1.070    0.000 statement_compound.py:510(symbol)
   388694    0.031    0.000    0.031    0.000 reflection.py:289(types)
     9498    0.031    0.000    0.315    0.000 primary.py:599(is_decl_this_var_forward)
      127    0.031    0.000    0.031    0.000 {built-in method builtins.compile}
35503/13503    0.030    0.000    0.835    0.000 node.py:131(factory)
    29561    0.030    0.000    0.423    0.000 traits.py:135(_actualize_type)
    24246    0.030    0.000    0.161    0.000 node.py:265(__ast_order)
      539    0.028    0.000    0.028    0.000 {built-in method _io.open}
    51465    0.028    0.000    0.856    0.000 statement_compound.py:332(actual_symbol)
    49585    0.028    0.000    0.720    0.000 node.py:172(parent)
    49149    0.027    0.000    1.264    0.000 statement_compound.py:274(domain_name)
   107511    0.027    0.000    0.050    0.000 query.py:41(exists)
    70427    0.026    0.000    0.172    0.000 node.py:109(fullyname)
     7188    0.026    0.000    0.922    0.000 serializer.py:61(deserialize)
    49585    0.025    0.000    0.686    0.000 query.py:66(parent)
     7188    0.025    0.000    0.121    0.000 serializer.py:88(_deserialize_attrs)
    12209    0.025    0.000    0.336    0.000 primary.py:621(is_decl_this_var)
   112885    0.024    0.000    0.047    0.000 query.py:147(<lambda>)
    56065    0.024    0.000    0.338    0.000 element.py:52(path)
    49338    0.024    0.000    0.024    0.000 {method 'mro' of 'type' objects}
    18396    0.024    0.000    1.535    0.000 reflections.py:443(on_var)
     7644    0.023    0.000    0.307    0.000 template.py:142(returns)
    35967    0.023    0.000    1.739    0.000 primary.py:229(receiver)
   132755    0.023    0.000    0.023    0.000 resolver.py:57(can_resolve)
    34483    0.023    0.000    0.379    0.000 environment.py:953(_load_template)
    82409    0.022    0.000    0.035    0.000 resolver.py:96(resolve)
    17025    0.022    0.000    1.454    0.000 reflections.py:199(resolve_property)
   186848    0.022    0.000    0.022    0.000 memo2.py:34(__init__)
    39743    0.022    0.000    0.321    0.000 statement_compound.py:518(decorators)
   103526    0.022    0.000    0.032    0.000 node.py:152(can_expand)
    76760    0.022    0.000    0.022    0.000 trait.py:105(get)
   121763    0.022    0.000    0.022    0.000 runtime.py:229(resolve_or_missing)
     9069    0.021    0.000    0.249    0.000 template.py:309(build)
   168753    0.021    0.000    0.021    0.000 entry.py:37(has_child)
    13497    0.021    0.000    0.208    0.000 template.py:193(unpack_templates)
   149275    0.021    0.000    0.021    0.000 memo2.py:10(__init__)
    22773    0.021    0.000    0.041    0.000 traits.py:116(_actualize_self)
     3437    0.020    0.000    1.860    0.001 py2cpp.py:823(analyze_func_call_spec)
    15829    0.020    0.000    0.623    0.000 naming.py:39(domain_name)
    34483    0.020    0.000    0.403    0.000 environment.py:978(get_template)
   149325    0.020    0.000    0.020    0.000 node.py:84(module_path)
     8115    0.019    0.000    0.034    0.000 lexer.py:669(tokeniter)
     6003    0.018    0.000    0.256    0.000 py2cpp.py:540(analyze_relay_spec)
   202562    0.018    0.000    0.018    0.000 reflection.py:338(decl)
    18088    0.018    0.000    0.431    0.000 primary.py:473(arguments)
    40878    0.018    0.000    0.037    0.000 nodes.py:169(iter_child_nodes)
    27162    0.018    0.000    0.032    0.000 path.py:19(identify)
    37803    0.018    0.000    0.166    0.000 primary.py:234(prop)
    24246    0.017    0.000    0.028    0.000 procedure.py:100(__result)
   151250    0.017    0.000    0.017    0.000 {method 'keys' of 'dict' objects}
    49262    0.017    0.000    0.061    0.000 path.py:40(valid)
     8154    0.017    0.000    0.889    0.000 traits.py:301(returns)
     9069    0.016    0.000    0.096    0.000 traits.py:343(_build_schema)
    25572    0.016    0.000    0.451    0.000 traits.py:98(_actualize_nullable)
    34483    0.016    0.000    0.502    0.000 environment.py:1378(new_context)
    13723    0.016    0.000    0.032    0.000 dsn.py:111(relativefy)
     3437    0.015    0.000    2.483    0.001 py2cpp.py:704(on_func_call)
   179530    0.015    0.000    0.015    0.000 convertion.py:6(safe_cast)
     9947    0.015    0.000    0.124    0.000 finder.py:143(__find_raw_for_type)
     6752    0.015    0.000    1.452    0.000 py2cpp.py:570(on_var)
    50346    0.015    0.000    0.026    0.000 resolver.py:25(can_resolve)
    27342    0.015    0.000    0.154    0.000 statement_compound.py:367(decorators)
    39419    0.015    0.000    0.182    0.000 lexer.py:213(_future_new)
    90639    0.015    0.000    0.015    0.000 reflection.py:17(__init__)
      430    0.014    0.000    0.014    0.000 {built-in method nt.stat}
      419    0.014    0.000    0.014    0.000 {method 'read' of '_io.BufferedReader' objects}
   168211    0.014    0.000    0.014    0.000 entry.py:12(__init__)
    13196    0.013    0.000    0.185    0.000 statement_compound.py:412(_has_annotation)
    34589    0.013    0.000    0.017    0.000 nodes.py:76(__init__)
     9029    0.013    0.000    0.046    0.000 finder.py:184(__find_imported_raw)
    51213    0.013    0.000    0.126    0.000 path.py:92(last_tag)
   104724    0.013    0.000    0.013    0.000 procedure.py:269(__put_log_action)
    28455    0.013    0.000    0.017    0.000 <frozen _collections_abc>:819(keys)
     9547    0.013    0.000    0.100    0.000 primary.py:586(is_decl_class_var)
     9069    0.013    0.000    0.275    0.000 traits.py:333(_build_helper)
    39419    0.012    0.000    0.194    0.000 lexer.py:202(__new__)
    88891    0.012    0.000    0.012    0.000 base.py:182(__init__)
    24024    0.012    0.000    7.884    0.000 reflections.py:295(__resolve_procedural)
     9029    0.011    0.000    0.064    0.000 finder.py:206(__find_library_raw)
     8258    0.011    0.000    0.192    0.000 node.py:511(dirty_child)
   126088    0.011    0.000    0.011    0.000 reflection.py:97(_traits)
    56165    0.011    0.000    0.017    0.000 utils.py:81(from_obj)
    71333    0.010    0.000    0.014    0.000 nodes.py:147(iter_fields)
     5984    0.010    0.000    0.305    0.000 primary.py:218(match_feature)
    34589    0.010    0.000    0.103    0.000 utils.py:463(get)
     9591    0.010    0.000    0.976    0.000 primary.py:21(label)
     9069    0.010    0.000    0.013    0.000 template.py:332(__resolve_injector)
    10027    0.010    0.000    0.013    0.000 sequence.py:23(last_index_of)
3782/3078    0.010    0.000    0.215    0.000 naming.py:188(__make_impl)
    18140    0.010    0.000    0.022    0.000 module.py:62(expand_elements)
18902/18886    0.010    0.000    0.013    0.000 typing.py:378(inner)
    10871    0.010    0.000    0.173    0.000 primary.py:637(is_param_class)
     8315    0.010    0.000    0.098    0.000 method.j2:4(root)
    15334    0.010    0.000    0.060    0.000 async_utils.py:34(wrapper)
    14332    0.010    0.000    0.083    0.000 primary.py:718(in_decl_alt_class_type)
    14552    0.010    0.000    0.081    0.000 primary.py:706(in_decl_class_type)
    11938    0.010    0.000    0.280    0.000 statement_compound.py:359(symbol)
    17226    0.010    0.000    0.285    0.000 traits.py:48(type_is)
   110154    0.009    0.000    0.009    0.000 tree.py:57(__init__)
    17025    0.009    0.000    1.495    0.000 traits.py:221(prop_of)
     3298    0.009    0.000    0.798    0.000 py2cpp.py:643(on_var_of_type)
18268/18267    0.009    0.000    0.011    0.000 typing.py:1136(__call__)
     4202    0.009    0.000    0.011    0.000 di.py:200(__assert_invoke)
    22494    0.009    0.000    0.050    0.000 traits.py:150(_actualize_alt_class)
    12628    0.009    0.000    0.732    0.000 general.py:50(whole_by)
    36375    0.009    0.000    0.009    0.000 {built-in method _abc._abc_instancecheck}
    10655    0.009    0.000    0.086    0.000 primary.py:652(is_param_this)
6847/6345    0.009    0.000    0.587    0.000 reflections.py:261(__resolve_raw_recursive)
      577    0.009    0.000    0.009    0.000 {method '__exit__' of '_io._IOBase' objects}
