         12545431 function calls (12180308 primitive calls) in 3.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10586    0.010    0.000    0.103    0.000 finder.py:59(by_standard)
18297/15935    0.010    0.000    0.817    0.000 query.py:32(__resolve)
    18932    0.009    0.000    0.039    0.000 path.py:76(last)
      229    0.009    0.000    0.009    0.000 {built-in method nt._path_isfile}
11012/4844    0.009    0.000    1.497    0.000 procedure.py:123(__action)
11012/4844    0.009    0.000    1.544    0.000 procedure.py:113(__process)
   104081    0.009    0.000    0.009    0.000 base.py:208(active)
     3585    0.009    0.000    0.016    0.000 lexer.py:667(tokeniter)
      266    0.009    0.000    0.009    0.000 {built-in method nt.stat}
11012/4844    0.009    0.000    1.392    0.000 procedure.py:197(__emit_proxy)
     6873    0.008    0.000    0.026    0.000 reflection.py:114(stack)
     3329    0.008    0.000    1.025    0.000 _compiler.py:740(compile)
33050/32915    0.008    0.000    0.395    0.000 di.py:81(resolve)
    16508    0.008    0.000    0.012    0.000 node.py:54(__repr__)
    17781    0.008    0.000    0.017    0.000 nodes.py:167(iter_child_nodes)
    71635    0.008    0.000    0.008    0.000 node.py:88(full_path)
    58135    0.008    0.000    0.010    0.000 {built-in method builtins.hasattr}
    41502    0.008    0.000    0.013    0.000 node.py:417(is_a)
    33159    0.008    0.000    0.022    0.000 di.py:30(__inner_binded)
9403/9208    0.007    0.000    0.360    0.000 trait.py:119(<lambda>)
    83287    0.007    0.000    0.007    0.000 {built-in method builtins.issubclass}
    37351    0.007    0.000    0.007    0.000 {method 'find' of 'str' objects}
    33050    0.007    0.000    0.029    0.000 di.py:19(can_resolve)
    23300    0.007    0.000    0.007    0.000 __init__.py:1008(__getitem__)
    29681    0.007    0.000    0.007    0.000 embed.py:25(class_path)
     6658    0.007    0.000    0.014    0.000 enum.py:1541(__and__)
    11012    0.007    0.000    0.054    0.000 procedure.py:163(__exit)
     2617    0.007    0.000    0.049    0.000 primary.py:699(is_decl_local_var)
18058/18042    0.007    0.000    0.010    0.000 typing.py:378(inner)
     5084    0.007    0.000    0.392    0.000 reflections.py:224(resolve)
    11012    0.007    0.000    0.047    0.000 procedure.py:141(__enter)
    53581    0.007    0.000    0.007    0.000 {method 'values' of 'dict' objects}
     3464    0.007    0.000    0.077    0.000 query.py:79(factory)
14952/13808    0.006    0.000    0.007    0.000 node.py:501(__getattribute__)
    49646    0.006    0.000    0.006    0.000 di.py:289(__can_resolve)
     4797    0.006    0.000    0.007    0.000 __init__.py:1022(__iter__)
    11861    0.006    0.000    0.008    0.000 entry.py:43(children)
    18932    0.006    0.000    0.010    0.000 path.py:112(__break_tag)
    66072    0.006    0.000    0.006    0.000 procedure.py:95(__stack)
     3848    0.006    0.000    0.015    0.000 {built-in method builtins.sorted}
3378/3329    0.006    0.000    0.701    0.000 _parser.py:452(_parse_sub)
    11657    0.006    0.000    0.066    0.000 path.py:103(parent_tag)
    12709    0.006    0.000    0.011    0.000 node.py:427(as_a)
     6308    0.006    0.000    0.010    0.000 trait.py:83(implements)
     2563    0.006    0.000    1.704    0.001 node.py:252(__procedural_ast)
    34193    0.006    0.000    0.006    0.000 eventemitter.py:66(observed)
11170/11057    0.006    0.000    0.755    0.000 node.py:327(_at)
     3329    0.006    0.000    0.712    0.000 _parser.py:969(parse)
     4649    0.006    0.000    1.655    0.000 node.py:282(__prop_expand)
9064/7355    0.005    0.000    0.011    0.000 utils.py:74(deserialize)
     3737    0.005    0.000    0.099    0.000 traits.py:59(actualize)
   2563/1    0.005    0.000    3.176    3.176 procedure.py:77(__exec_impl)
     9403    0.005    0.000    0.009    0.000 reflection.py:244(__getattr__)
     5468    0.005    0.000    0.008    0.000 node.py:442(one_of)
     3329    0.005    0.000    0.005    0.000 {built-in method _sre.compile}
     3669    0.005    0.000    0.039    0.000 query.py:207(factory)
    10530    0.005    0.000    0.013    0.000 dsn.py:4(elem_counts)
     8254    0.005    0.000    0.018    0.000 node.py:64(__eq__)
    41055    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
   2563/1    0.005    0.000    3.176    3.176 procedure.py:59(exec)
    32013    0.005    0.000    0.008    0.000 node.py:272(order)
10920/10379    0.005    0.000    0.208    0.000 query.py:54(by)
    48845    0.005    0.000    0.005    0.000 error.py:67(__exit__)
    48845    0.005    0.000    0.005    0.000 error.py:53(__init__)
     6308    0.005    0.000    0.016    0.000 reflection.py:190(impl)
    33676    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
      991    0.005    0.000    0.164    0.000 reflections.py:418(on_relay)
       11    0.005    0.000    0.279    0.025 query.py:18(__init__)
      613    0.005    0.000    0.275    0.000 py2cpp.py:508(on_relay)
     1733    0.005    0.000    0.039    0.000 node.py:486(dirty_proxify)
     2698    0.005    0.000    0.915    0.000 reflections.py:102(type_of)
    24757    0.005    0.000    0.005    0.000 {method 'endswith' of 'str' objects}
     2467    0.005    0.000    0.009    0.000 runtime.py:163(__init__)
     7708    0.005    0.000    0.021    0.000 path.py:146(de_identify)
     8449    0.004    0.000    0.007    0.000 procedure.py:256(__stack_pop)
       93    0.004    0.000    0.004    0.000 {built-in method _io.open}
    10548    0.004    0.000    0.004    0.000 {method 'fullmatch' of 're.Pattern' objects}
       49    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
    30088    0.004    0.000    0.006    0.000 nodes.py:145(iter_fields)
11012/2563    0.004    0.000    1.705    0.001 node.py:221(procedural)
     7203    0.004    0.000    0.007    0.000 procedure.py:244(__is_prop_list_by)
5303/5084    0.004    0.000    0.384    0.000 reflections.py:242(__resolve_raw)
7440/6899    0.004    0.000    0.205    0.000 node.py:315(_by)
     7672    0.004    0.000    0.016    0.000 node.py:305(_exists)
     3329    0.004    0.000    0.296    0.000 _compiler.py:573(_code)
      129    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
     1099    0.004    0.000    0.036    0.000 primary.py:614(is_decl_this_var_forward)
