         11830273 function calls (11535543 primitive calls) in 2.844 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27074    0.010    0.000    0.087    0.000 statement_compound.py:225(decorators)
       86    0.000    0.000    0.086    0.001 symbol_extends.py:87(extends_for_function)
   405256    0.053    0.000    0.086    0.000 _parser.py:260(get)
  1670785    0.085    0.000    0.085    0.000 {method 'append' of 'list' objects}
     6492    0.014    0.000    0.081    0.000 finder.py:173(__make_scopes)
   112055    0.033    0.000    0.076    0.000 path.py:57(joined)
     1803    0.001    0.000    0.076    0.000 environment.py:975(get_template)
     1803    0.002    0.000    0.074    0.000 environment.py:950(_load_template)
   396787    0.047    0.000    0.074    0.000 _parser.py:175(append)
    21894    0.008    0.000    0.073    0.000 statement_compound.py:453(decorators)
  418/377    0.000    0.000    0.070    0.000 naming.py:167(__make_impl)
   877012    0.066    0.000    0.070    0.000 {built-in method builtins.isinstance}
     4932    0.003    0.000    0.068    0.000 statement_compound.py:297(symbol)
       35    0.000    0.000    0.067    0.002 reflections.py:592(on_term)
      231    0.000    0.000    0.066    0.000 py2cpp.py:104(to_accessible_name)
      603    0.000    0.000    0.065    0.000 operator.py:28(elements)
    41379    0.013    0.000    0.065    0.000 query.py:54(by)
       39    0.000    0.000    0.064    0.002 loaders.py:107(load)
   417009    0.043    0.000    0.064    0.000 _parser.py:167(__getitem__)
    20507    0.015    0.000    0.063    0.000 di.py:342(resolve)
       39    0.000    0.000    0.063    0.002 environment.py:728(compile)
      231    0.000    0.000    0.062    0.000 naming.py:155(accessible_name)
     1040    0.001    0.000    0.062    0.000 naming.py:30(domain_name)
    16291    0.005    0.000    0.061    0.000 proxy.py:93(types)
       52    0.000    0.000    0.060    0.001 reflections.py:589(on_sum)
330313/329771    0.043    0.000    0.060    0.000 {method 'join' of 'str' objects}
    31323    0.019    0.000    0.059    0.000 embed.py:197(dig_for_method)
      530    0.000    0.000    0.058    0.000 reflections.py:454(on_class_ref)
       69    0.000    0.000    0.057    0.001 py2cpp.py:734(on_sum)
   111115    0.035    0.000    0.057    0.000 dsn.py:16(elements)
4800/3410    0.001    0.000    0.056    0.000 implements.py:314(org_fullyname)
    86698    0.056    0.000    0.056    0.000 {method 'sub' of 're.Pattern' objects}
      220    0.000    0.000    0.054    0.000 literal.py:115(values)
     6327    0.050    0.000    0.052    0.000 {built-in method builtins.__build_class__}
    51425    0.014    0.000    0.048    0.000 di.py:304(__symbolize)
    16556    0.010    0.000    0.048    0.000 path.py:169(shift)
      118    0.000    0.000    0.046    0.000 implements.py:199(__eq__)
      236    0.000    0.000    0.046    0.000 implements.py:218(__repr__)
    33995    0.012    0.000    0.046    0.000 node.py:292(_exists)
      115    0.000    0.000    0.045    0.000 proxy.py:202(__eq__)
     1664    0.002    0.000    0.044    0.000 environment.py:1269(render)
    51569    0.029    0.000    0.044    0.000 _parser.py:371(_escape)
       99    0.000    0.000    0.044    0.000 template.py:119(parameter)
    11263    0.006    0.000    0.044    0.000 procedure.py:167(__exit)
      696    0.002    0.000    0.044    0.000 template.py:303(build)
      312    0.000    0.000    0.043    0.000 primary.py:234(receiver)
    30918    0.009    0.000    0.043    0.000 di.py:283(can_resolve)
    48326    0.017    0.000    0.043    0.000 dsn.py:4(elem_counts)
      213    0.000    0.000    0.042    0.000 primary.py:239(key)
      424    0.000    0.000    0.042    0.000 reflections.py:481(on_var_of_type)
2838/2828    0.024    0.000    0.041    0.000 _compiler.py:434(_get_literal_prefix)
      137    0.000    0.000    0.040    0.000 template.py:200(unpack_symbols)
    11263    0.006    0.000    0.040    0.000 procedure.py:145(__enter)
    65266    0.022    0.000    0.039    0.000 node.py:414(as_a)
     8621    0.004    0.000    0.039    0.000 path.py:103(parent_tag)
      144    0.000    0.000    0.039    0.000 literal.py:97(first)
    27180    0.018    0.000    0.039    0.000 dsn.py:40(left)
31108/30575    0.011    0.000    0.038    0.000 finder.py:109(is_local_var_in_class_scope)
     3025    0.005    0.000    0.037    0.000 query.py:80(factory)
      497    0.000    0.000    0.037    0.000 statement_simple.py:11(receivers)
      493    0.000    0.000    0.036    0.000 statement_simple.py:22(receivers)
      617    0.000    0.000    0.036    0.000 py2cpp.py:134(to_domain_name_by_class)
18188/6004    0.018    0.000    0.036    0.000 cache.py:53(group_by)
      179    0.000    0.000    0.035    0.000 statement_compound.py:24(statements)
     2116    0.005    0.000    0.035    0.000 primary.py:634(is_decl_local_var)
   411043    0.033    0.000    0.033    0.000 _parser.py:239(__next)
    31323    0.019    0.000    0.033    0.000 embed.py:108(get_from_method)
    35359    0.008    0.000    0.033    0.000 path.py:47(elements)
      111    0.000    0.000    0.032    0.000 statement_compound.py:319(return_type)
     9083    0.003    0.000    0.030    0.000 element.py:52(path)
      959    0.001    0.000    0.030    0.000 primary.py:84(match_feature)
      959    0.003    0.000    0.029    0.000 primary.py:550(is_decl_class_var)
       39    0.000    0.000    0.029    0.001 environment.py:677(_generate)
       39    0.000    0.000    0.028    0.001 compiler.py:101(generate)
  4453/39    0.002    0.000    0.028    0.001 visitor.py:35(visit)
       39    0.001    0.000    0.028    0.001 compiler.py:826(visit_Template)
      418    0.000    0.000    0.028    0.000 naming.py:66(make_manualy)
     1461    0.002    0.000    0.028    0.000 node.py:501(dirty_child)
5775/2858    0.025    0.000    0.027    0.000 _parser.py:177(getwidth)
       39    0.000    0.000    0.027    0.001 environment.py:613(_parse)
     1114    0.002    0.000    0.027    0.000 primary.py:572(is_decl_this_var)
     1559    0.001    0.000    0.026    0.000 primary.py:115(match_feature)
       21    0.000    0.000    0.026    0.001 py2cpp.py:269(on_class_method)
      557    0.001    0.000    0.026    0.000 primary.py:185(match_feature)
    92439    0.016    0.000    0.026    0.000 di.py:106(_acceptable_symbol)
      102    0.000    0.000    0.025    0.000 py2cpp.py:541(on_var_of_type)
    14956    0.006    0.000    0.025    0.000 path.py:76(last)
     2835    0.003    0.000    0.025    0.000 query.py:216(factory)
   221983    0.025    0.000    0.025    0.000 memo.py:69(get)
   221983    0.025    0.000    0.025    0.000 memo.py:11(__call__)
306436/300667    0.024    0.000    0.025    0.000 {built-in method builtins.len}
      968    0.000    0.000    0.025    0.000 py2cpp.py:144(force_unpack_nullable)
    16785    0.018    0.000    0.025    0.000 node.py:195(__embed_classes)
       39    0.000    0.000    0.024    0.001 parser.py:1028(parse)
      272    0.000    0.000    0.024    0.000 naming.py:54(accessible_name)
     5180    0.002    0.000    0.024    0.000 statement_compound.py:305(decorators)
    66430    0.014    0.000    0.024    0.000 cache.py:38(by)
   107687    0.015    0.000    0.024    0.000 node.py:404(is_a)
     1803    0.001    0.000    0.024    0.000 environment.py:1375(new_context)
     4908    0.003    0.000    0.023    0.000 element.py:57(arguments)
      353    0.000    0.000    0.023    0.000 reflections.py:108(type_of_constructor)
     1803    0.008    0.000    0.023    0.000 runtime.py:91(new_context)
   116973    0.023    0.000    0.023    0.000 {method 'split' of 'str' objects}
      591    0.001    0.000    0.022    0.000 py2cpp.py:467(analyze_relay_access_spec)
    10411    0.008    0.000    0.022    0.000 di.py:178(__to_annotated)
   221983    0.022    0.000    0.022    0.000 memo.py:23(decorator)
    16707    0.008    0.000    0.022    0.000 path.py:10(join)
   134/39    0.001    0.000    0.022    0.001 parser.py:979(subparse)
   396704    0.021    0.000    0.021    0.000 {built-in method builtins.ord}
  173/167    0.000    0.000    0.021    0.000 reflections.py:237(__resolve_raw_recursive)
      557    0.000    0.000    0.020    0.000 primary.py:91(match_feature)
       65    0.000    0.000    0.020    0.000 element.py:28(default_value)
