python -m unittest tests.unit.rogw.tranp.implements.cpp.transpiler.test_py2cpp --
         6714292 function calls (6403354 primitive calls) in 2.408 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3253    0.006    0.000    0.264    0.000 finder.py:94(find_by_symbolic)
14273/13150    0.006    0.000    0.257    0.000 query.py:52(by)
     2242    0.006    0.000    0.072    0.000 primary.py:812(is_decl_local_var)
    11773    0.006    0.000    0.061    0.000 path.py:103(parent_tag)
7176/3745    0.006    0.000    1.318    0.000 procedure.py:124(__action)
    45354    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
7176/3745    0.006    0.000    1.260    0.000 procedure.py:198(__emit_proxy)
     6275    0.006    0.000    0.009    0.000 reflection.py:250(__getattr__)
     1712    0.006    0.000    0.203    0.000 serializer.py:63(deserialize)
     1712    0.006    0.000    0.018    0.000 serializer.py:90(_deserialize_attrs)
7176/3745    0.006    0.000    1.355    0.000 procedure.py:114(__process)
11347/10224    0.006    0.000    0.237    0.000 node.py:288(_by)
      102    0.006    0.000    0.006    0.000 {built-in method _io.open_code}
    34051    0.006    0.000    0.006    0.000 {method 'count' of 'str' objects}
     2890    0.006    0.000    0.067    0.000 query.py:77(factory)
8422/1159    0.006    0.000    0.031    0.000 visitor.py:44(generic_visit)
14959/12257    0.005    0.000    0.096    0.000 node.py:129(scope)
3964/1167    0.005    0.000    0.014    0.000 sequence.py:35(expand)
    16501    0.005    0.000    0.008    0.000 path.py:112(__break_tag)
6275/5903    0.005    0.000    0.262    0.000 trait.py:134(<lambda>)
    40721    0.005    0.000    0.005    0.000 {method 'values' of 'dict' objects}
       15    0.005    0.000    0.294    0.020 query.py:16(__init__)
    10550    0.005    0.000    0.082    0.000 finder.py:160(__find_raw)
     9666    0.005    0.000    0.018    0.000 node.py:278(_exists)
     7352    0.005    0.000    0.017    0.000 node.py:64(__eq__)
      151    0.005    0.000    0.005    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     3512    0.005    0.000    0.033    0.000 query.py:205(factory)
     7176    0.005    0.000    0.035    0.000 procedure.py:164(__exit)
     3794    0.005    0.000    0.010    0.000 utils.py:497(__getitem__)
    55368    0.005    0.000    0.010    0.000 <frozen _collections_abc>:873(__iter__)
    29569    0.004    0.000    0.004    0.000 {method 'find' of 'str' objects}
    15741    0.004    0.000    0.007    0.000 visitor.py:28(get_visitor)
     7176    0.004    0.000    0.032    0.000 procedure.py:142(__enter)
     3488    0.004    0.000    0.009    0.000 dsn.py:111(relativefy)
     6240    0.004    0.000    0.092    0.000 reflections.py:53(type_is)
    22912    0.004    0.000    0.004    0.000 db.py:64(__contains__)
     4648    0.004    0.000    0.006    0.000 node.py:430(one_of)
      506    0.004    0.000    0.004    0.000 {built-in method nt._path_isfile}
     3076    0.004    0.000    0.156    0.000 environment.py:1272(render)
    43056    0.004    0.000    0.004    0.000 procedure.py:98(__stack)
8037/7901    0.004    0.000    0.184    0.000 node.py:300(_at)
     3076    0.004    0.000    0.403    0.000 render.py:60(render)
     8740    0.004    0.000    0.006    0.000 compiler.py:453(write)
     1514    0.004    0.000    0.032    0.000 node.py:477(dirty_proxify)
 2230/412    0.004    0.000    1.637    0.004 procedure.py:76(__exec_impl)
2984/2445    0.004    0.000    0.205    0.000 defer.py:55(__getattribute__)
     8532    0.004    0.000    0.006    0.000 dsn.py:4(elem_counts)
